"Citation.ID","abstract_screen","full_text_screen","journal_book_title","Score","eligible_experimental","eligible_quantitative","eligible_comments"
"111565409",-1,NA,"JOURNAL OF EDUCATIONAL RESEARCH",28,NA,NA,NA
"111570545",1,"Eligible","HEALTH PSYCHOLOGY",69,"Yes","Yes","Mediation paper "
"111567610",1,"Eligible","HEALTH PSYCHOLOGY",1,"Yes","Yes",""
"111566178",-1,NA,"HEALTH PSYCHOLOGY",1,NA,NA,NA
"111565407",-1,NA,"JOURNAL OF EDUCATIONAL RESEARCH",1,NA,NA,NA
"111571860",-1,NA,"EVALUATION REVIEW",31,NA,NA,NA
"111566139",-1,NA,"HEALTH PSYCHOLOGY",1,NA,NA,NA
"111569675",-1,NA,"HEALTH PSYCHOLOGY",1,NA,NA,NA
"111565805",-1,NA,"HEALTH PSYCHOLOGY",1,NA,NA,NA
"111578234",1,"Ineligible","EVALUATION REVIEW",1,"No","Yes","Quasi matching experiment"
"111578478",1,"Ineligible","EVALUATION REVIEW",68,"No","No","Methods paper"
"111578128",-1,NA,"EVALUATION REVIEW",1,NA,NA,NA
"111565446",1,"Eligible","JOURNAL OF RESEARCH ON EDUCATIONAL EFFECTIVENESS",19,"Yes","Yes","Local site leaders, teacher leaders"
"111571831",-1,NA,"EVALUATION REVIEW",1,NA,NA,NA
"111574364",1,"Eligible","EVALUATION REVIEW",3,"Yes","Yes","Treatment is very complex so could involve nesting"
"111570662",1,"Eligible","EVALUATION REVIEW",2,"Yes","Yes",""
"111570737",1,"Ineligible","EVALUATION REVIEW",1,"No","No","This is a narrative paper about a experiment done in 2018"
"111564703",-1,NA,"EVALUATION REVIEW",53,NA,NA,NA
"111565794",-1,NA,"EVALUATION REVIEW",3,NA,NA,NA
"111568743",-1,NA,"EVALUATION REVIEW",3,NA,NA,NA
"111565953",1,"Eligible","EVALUATION REVIEW",2,"Yes","Yes",""
"111577715",-1,NA,"AMERICAN JOURNAL OF PUBLIC HEALTH",2,NA,NA,NA
"111577978",1,"Ineligible","AMERICAN JOURNAL OF PUBLIC HEALTH",2,"No","No","Pre and post test experiment. More details on experiment found in a seperate paper"
"111576877",-1,NA,"AMERICAN JOURNAL OF PUBLIC HEALTH",1,NA,NA,NA
"111565232",-1,NA,"EVALUATION REVIEW",5,NA,NA,NA
"111573290",-1,NA,"AMERICAN JOURNAL OF PUBLIC HEALTH",1,NA,NA,NA
"111576552",-1,NA,"AMERICAN JOURNAL OF PUBLIC HEALTH",1,NA,NA,NA
"111575722",-1,NA,"AMERICAN JOURNAL OF PUBLIC HEALTH",1,NA,NA,NA
"111574617",-1,NA,"AMERICAN JOURNAL OF PUBLIC HEALTH",1,NA,NA,NA
"111573467",-1,NA,"AMERICAN JOURNAL OF PUBLIC HEALTH",2,NA,NA,NA
"111572351",-1,NA,"AMERICAN JOURNAL OF PUBLIC HEALTH",1,NA,NA,NA
"111565796",-1,NA,"AMERICAN JOURNAL OF PUBLIC HEALTH",2,NA,NA,NA
"111571724",-1,NA,"AMERICAN JOURNAL OF PUBLIC HEALTH",1,NA,NA,NA
"111568184",-1,NA,"AMERICAN JOURNAL OF PUBLIC HEALTH",1,NA,NA,NA
"111572436",-1,NA,"AMERICAN JOURNAL OF PUBLIC HEALTH",1,NA,NA,NA
"111569753",-1,NA,"AMERICAN JOURNAL OF PUBLIC HEALTH",1,NA,NA,NA
"111572324",-1,NA,"AMERICAN JOURNAL OF PUBLIC HEALTH",2,NA,NA,NA
"111568105",-1,NA,"AMERICAN JOURNAL OF PUBLIC HEALTH",1,NA,NA,NA
"111568992",1,"Ineligible","ADDICTIVE BEHAVIORS",55,"Yes","No","Just explored variables in the treatment group"
"111565508",1,"Eligible","JOURNAL OF RESEARCH ON EDUCATIONAL EFFECTIVENESS",60,"Yes","Yes",""
"111570606",-1,NA,"OBESITY",2,NA,NA,NA
"111577569",1,"Eligible","PREVENTION SCIENCE",78,"Yes","Yes",""
"111573268",-1,NA,"OBESITY",2,NA,NA,NA
"111577370",1,"Ineligible","EVALUATION REVIEW",22,"Yes","Yes","Within Subjects randomized experiment"
"111578179",-1,NA,"EVALUATION REVIEW",4,NA,NA,NA
"111570412",-1,NA,"EVALUATION REVIEW",55,NA,NA,NA
"111571307",1,"Eligible","PREVENTIVE MEDICINE",61,"Yes","Yes",""
"111566714",1,"Ineligible","AIDS AND BEHAVIOR",34,"No","No","Methods paper accessing recuitment sampling"
"111568503",1,"Ineligible","JOURNAL OF CONSULTING AND CLINICAL PSYCHOLOGY",40,"No","No","Assessing treatment attendance on outcomes (Fidelty Basically) "
"111573762",1,"Eligible","PREVENTIVE MEDICINE",24,"Yes","Yes",""
"111566074",1,"Eligible","PREVENTIVE MEDICINE",10,"Yes","Yes",""
"111570161",1,"Eligible","JOURNAL OF CONSULTING AND CLINICAL PSYCHOLOGY",57,"Yes","Yes","Each treatment group involves therapists "
"111573506",1,"Eligible","PREVENTION SCIENCE",35,"Yes","Yes","Police officers taught treatment"
"111569201",-1,NA,"HEALTH PSYCHOLOGY",12,NA,NA,NA
"111574967",-1,NA,"AIDS AND BEHAVIOR",1,NA,NA,NA
"111566346",-1,NA,"ADDICTIVE BEHAVIORS",1,NA,NA,NA
"111565233",1,"Eligible","PREVENTION SCIENCE",7,"Yes","Yes","High  school and college students who served as reading-mentors  received programmatic training and onsite supervision.  Professional family consultants"
"111568478",-1,NA,"JOURNAL OF EDUCATIONAL RESEARCH",10,NA,NA,NA
"111565457",1,"Eligible","JOURNAL OF RESEARCH ON EDUCATIONAL EFFECTIVENESS",23,"Yes","Yes",""
"111565500",1,"Ineligible","JOURNAL OF EDUCATIONAL PSYCHOLOGY",84,"Yes","No","Study Protocol "
"111576861",-1,NA,"ADDICTIVE BEHAVIORS",4,NA,NA,NA
"111569691",-1,NA,"AIDS AND BEHAVIOR",1,NA,NA,NA
"111576213",-1,NA,"ADDICTIVE BEHAVIORS",1,NA,NA,NA
"111569128",-1,NA,"AIDS AND BEHAVIOR",8,NA,NA,NA
"111573573",1,"Eligible","AIDS AND BEHAVIOR",51,"Yes","Yes","Group meeting in CHW"
"111568521",1,"Ineligible","HEALTH PSYCHOLOGY",73,"Yes","No","Compares longituidal data with data from a RCT"
"111571223",1,"Eligible","PREVENTION SCIENCE",65,"Yes","Yes","Mediation analysis, info about intervention was elsewhere"
"111577508",1,"Eligible","PREVENTIVE MEDICINE",9,"Yes","Yes",""
"111569163",-1,NA,"JOURNAL OF CONSULTING AND CLINICAL PSYCHOLOGY",4,NA,NA,NA
"111571459",1,"Ineligible","HEALTH PSYCHOLOGY",67,"Yes","Yes","Published in 2019"
"111567938",-1,NA,"OBESITY",6,NA,NA,NA
"111573200",-1,NA,"OBESITY",7,NA,NA,NA
"111565140",-1,NA,"AIDS AND BEHAVIOR",3,NA,NA,NA
"111567538",1,"Eligible","OBESITY",82,"Yes","Yes","Partial nesting due to exercise classes "
"111571371",-1,NA,"HEALTH PSYCHOLOGY",1,NA,NA,NA
"111571450",1,"Eligible","HEALTH PSYCHOLOGY",87,"Yes","Yes","Coaches in treatment but not essential element of treatment"
"111568161",1,"Eligible","OBESITY",1,"Yes","Yes",""
"111574026",1,"Eligible","ADDICTIVE BEHAVIORS",11,"Yes","Yes",""
"111573037",-1,NA,"AMERICAN JOURNAL OF PUBLIC HEALTH",3,NA,NA,NA
"111577996",-1,NA,"AMERICAN JOURNAL OF PUBLIC HEALTH",1,NA,NA,NA
"111578802",-1,NA,"AIDS AND BEHAVIOR",19,NA,NA,NA
"111577010",-1,NA,"PREVENTIVE MEDICINE",1,NA,NA,NA
"111570110",1,"Ineligible","HEALTH PSYCHOLOGY",71,"No","No","Study protocol "
"111572699",1,"Ineligible","OBESITY",1,"No","",""
"111577409",-1,NA,"EVALUATION REVIEW",1,NA,NA,NA
"111573338",-1,NA,"EVALUATION REVIEW",2,NA,NA,NA
"111571690",1,"Eligible","EVALUATION REVIEW",4,"Yes","Yes","Tutors teaching the treatment to teachers in groups "
"111568144",-1,NA,"HEALTH PSYCHOLOGY",1,NA,NA,NA
"111569801",1,"Eligible","PREVENTIVE MEDICINE",31,"Yes","Yes",""
"111573517",1,"Eligible","PREVENTION SCIENCE",25,"Yes","Yes",""
"111573624",-1,NA,"OBESITY",1,NA,NA,NA
"111570054",1,"Eligible","JOURNAL OF CONSULTING AND CLINICAL PSYCHOLOGY",63,"Yes","Yes","Intervention delivered by doctoral students in treatment. "
"111573212",-1,NA,"PREVENTIVE MEDICINE",1,NA,NA,NA
"111571095",1,"Eligible","AIDS AND BEHAVIOR",69,"Yes","Yes","paired participants with coaches in treatment"
"111573974",1,"Ineligible","PREVENTIVE MEDICINE",28,"Yes","No","Looking at the effects of adherence to medication"
"111576656",-1,NA,"AMERICAN JOURNAL OF PUBLIC HEALTH",1,NA,NA,NA
"111565999",-1,NA,"AMERICAN JOURNAL OF PUBLIC HEALTH",1,NA,NA,NA
"111571293",-1,NA,"PREVENTION SCIENCE",1,NA,NA,NA
"111572593",-1,NA,"ADDICTIVE BEHAVIORS",2,NA,NA,NA
"111568390",1,"Eligible","HEALTH PSYCHOLOGY",56,"Yes","Yes","All treatment conditions had therapists "
"111566836",1,"Ineligible","JOURNAL OF CONSULTING AND CLINICAL PSYCHOLOGY",48,"Yes","No","Correlation of variables within an experiment"
"111574927",-1,NA,"AIDS AND BEHAVIOR",5,NA,NA,NA
"111566355",1,"Eligible","ADDICTIVE BEHAVIORS",17,"Yes","Yes","Moderation analysis "
"111568414",-1,NA,"JOURNAL OF EDUCATIONAL PSYCHOLOGY",1,NA,NA,NA
"111568386",1,"Eligible","JOURNAL OF EDUCATIONAL PSYCHOLOGY",12,"Yes","Yes","Group meditation and activities"
"111569858",-1,NA,"JOURNAL OF EDUCATIONAL PSYCHOLOGY",1,NA,NA,NA
"111567627",-1,NA,"JOURNAL OF EDUCATIONAL PSYCHOLOGY",1,NA,NA,NA
"111566206",1,"Eligible","JOURNAL OF EDUCATIONAL PSYCHOLOGY",43,"Yes","Yes",""
"111564877",1,"Eligible","JOURNAL OF EDUCATIONAL PSYCHOLOGY",25,"Yes","Yes",""
"111564785",-1,NA,"JOURNAL OF EDUCATIONAL PSYCHOLOGY",1,NA,NA,NA
