"citation_id","study_id","response_id","experiment","cond_name","cond_type","cond_purpose","cond_exp_units_count","cond_exp_units_count_source","cond_obs_units_count","cond_obs_units_count_source","cond_treatment_provider_exp","cond_treatment_provider_exp_detail","cond_treatment_provider_obs","cond_treatment_provider_obs_detail","cond_treatment_provider_num","cond_treatment_provider_num_source","cond_treatment_groups_exp","cond_treatment_groups_exp_detail","cond_treatment_groups_obs","cond_treatment_groups_obs_detail","cond_treatment_groups_num","cond_treatment_groups_num_source","cond_comments"
"111565404","111565404","29149","1","Activity Wristband","Treatment","Given activity wristbands to wear and track steps . Students made a contract and placed into teams to incentive physical activity","1","403, Fig 1","100 students ~ 8 classes","403, Fig 1","No",NA,"No",NA,NA,NA,"No",NA,"Yes","Students in treatment placed into teams to compete with each other within classroom","25-33","Calculated from team size: group of  three-four students were established in each class, 399, Intervention",NA
"111565404","111565404","29149","1","Control","Control","Not given wristbands or any behavior modification. Business as usual","1","403, Fig 1","76 students ~ 8 classes","403, Fig 1","No",NA,"No",NA,NA,NA,"No",NA,"No",NA,NA,NA,NA
"111565508","111565508","28221","1","Treatment","Treatment","Web based goal-setting intervention","571","568, Table 1",NA,NA,"No",NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA
"111565508","111565508","28221","1","Control","Control","Web based intervention without goal setting","563","568, Table 1",NA,NA,"No",NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA
"111565460","111565460","28541","1","Descubriendo la Lectura (DLL)","Treatment","individualized one on one tutoring from highly trained tutor","206","992, Table 1",NA,NA,"Yes","Certified bilingual teacher tutors",NA,NA,"Not reported","982, Sample","No",NA,NA,NA,NA,NA,NA
"111565460","111565460","28541","1","Waitlist control","Control","business as usual literacy instruction","195","992, Table 1",NA,NA,"No",NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA
"111568495","111568495","28223","1","corequisite remediation","Treatment","Enrolling in both IRW course and English  Composition I","986","90, Table 3",NA,NA,"Yes","corequisite instructors",NA,NA,"Not mentioned",NA,"No",NA,NA,NA,NA,NA,"They discuss that the effect of instructor cannot be disentangled from the effect of the course"
"111568495","111568495","28223","1","stand-alone IRW course","Control","Enrolling in just IRW course","792","90, Table 3",NA,NA,"Yes","Not mentioned assumedly instructors of IRW course",NA,NA,"Not mentioned",NA,"No",NA,NA,NA,NA,NA,NA
"111565411","111565411","28510","1","Classwide peer tutoring (CWPT)","Treatment","Students working within dyads to read passages","43","383, Table 2",NA,NA,"No",NA,NA,NA,NA,NA,"Yes","Students worked in dyads where one student worked as Reader 1 and the other worked as Reader 2",NA,NA,"21","Calculated from total sample size divided by 2 rounded down",NA
"111565411","111565411","28510","1","Independent Work","Control","Work on homework independently","43","383, Table 2",NA,NA,"No",NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA
"111566355","111566355","28610","1","eCHECKUP TO GO + self affirmation","Treatment","standard online  alcohol-education program with writing activity","258","842, Figure 1 (Carey et al., 2024)",NA,NA,"No",NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA
"111566355","111566355","28610","1","eCHECKUP TO GO","Control","standard online  alcohol-education program without writing activity","227","842, Figure 1 (Carey et al., 2024)",NA,NA,"No",NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA
